KELAS,HARI,MATA KULIAH,WAKTU,RUANG,DOSEN
3KA01,Selasa,Interaksi Manusia & Komputer*/**,4/5/6,E317,FEBRIANI
3KA01,Selasa,Konsep Data Mining,9/10,E317,KOKO BACHRUDIN
3KA01,Rabu,Sistem Keamanan Tek. Informasi *,1/2/3,E514,RODIAH
3KA01,Rabu,Statistika **,4/5/6,E514,PENI SAWITRI
3KA01,Rabu,Graf & Analisis Algoritma,8/9/10,E425,BUDI SETIAWAN2/TEGUH YUNIARKO
3KA01,Kamis,Metode Penelitian,1/2,E318,TEDDY OSWARI
3KA01,Kamis,Pemrograman Berbasis Web **,3/4,E318,REVIDA IRIANA NAPITUPULU
3KA01,Kamis,Jejaring Sosial&Konten Kreatif,6/7,E414,JULIA FAJARYANTI
3KA01,Kamis,Bahasa Indonesia 2,9/10,E314,ROSI ROSIDAH
3KA02,Senin,Metode Penelitian,1/2,E441,PUJI RAHAYU SETYANINGSIH
3KA02,Senin,Graf & Analisis Algoritma,5/6/7,E331,TEGUH YUNIARKO
3KA02,Senin,Sistem Keamanan Tek. Informasi *,8/9/10,E331,CUT MAISYARAH KARYATI
3KA02,Selasa,Interaksi Manusia & Komputer*/**,1/2/3,E313,FEBRIANI
3KA02,Selasa,Jejaring Sosial&Konten Kreatif,4/5,E313,JALINAS/SAYIDATI KARIMA
3KA02,Selasa,Bahasa Indonesia 2,7/8,E449,ANDINI KURNIA FITRIANA
3KA02,Rabu,Statistika **,1/2/3,E513,PENI SAWITRI
3KA02,Rabu,Pemrograman Berbasis Web **,5/6,E122,BERTALYA
3KA02,Rabu,Konsep Data Mining,7/8,E122,TUBAGUS MAULANA KUSUMA
3KA03,Senin,Graf & Analisis Algoritma,1/2/3,E522,NURWENDO HARICAHYADI
3KA03,Senin,Statistika **,4/5/6,E522,SRI RAKHMAWATI
3KA03,Senin,Metode Penelitian,9/10,E516,MUFID SURYANI
3KA03,Rabu,Interaksi Manusia & Komputer*/**,1/2/3,E217,FENNI AGUSTINA
